Pos,Name,BV,Team,12_xMins,12_Pts
2,Nkoulou,4.5,19,1,0.021
1,Cox,4,6,0,0
3,Morton,4.5,15,0,0
1,Storer,4,20,0,0
4,Tosun,5,12,0,0
2,Welch,4,12,0,0
3,Bate,4.5,13,0,0
3,Baker,99.9,8,0,0
3,Musonda Jr ,99.9,8,0,0
4,Clarke,99.9,18,0,0
3,Baluta,99.9,5,0,0
1,Lewis,99.9,17,0,0
4,Valencia,99.9,6,0,0
2,Jeanvier,99.9,6,2,0.088
2,Racic,99.9,6,3,0.126
1,Karius,99.9,15,0,0
2,Jones,99.9,16,14,0.581
4,Diallo,99.9,16,0,0
1,Grant,99.9,16,0,0
2,Benkovic,99.9,14,0,0
2,Buur,99.9,20,0,0
3,Jordão,99.9,20,0,0
1,Martin,99.9,9,0,0
2,Bushiri,99.9,11,0,0
3,Peart-Harris,99.9,6,0,0
4,Chong,99.9,16,0,0
2,McQueen,99.9,17,0,0
4,Kayky,99.9,4,0,0
4,Kayky,99.9,4,0,0
